Date,BAC,JPM,WFC,C,GS,MS,USB,TFC,PNC,TD,FITB,KEY,MTB,HBAN,CFG,RF,BK,STT,ALLY,NYCB,,
8/15/23,30.5,152.850006,43.130001,43.650002,333.299988,86.410004,38,30.02,125.440002,86.110001,26.309999,10.81,130.949997,11.5,29.040001,20,44.630001,70.419998,27.790001,12.35,,
8/16/23,29.75,150.600006,42.66,43.02,330.540009,85.739998,37.439999,29.559999,122.980003,85.150002,25.82,10.62,127.099998,11.27,28.209999,19.620001,44.240002,69.209999,27.32,12.06,,
8/17/23,29.440001,150.880005,42.470001,42.84,330,86.599998,37.310001,29.33,123.150002,83.800003,25.790001,10.59,129.240005,11.34,28.27,19.620001,44.439999,69.470001,27.16,12.1,,
8/18/23,29.040001,147.649994,42.099998,42.150002,324.320007,84.959999,36.369999,28.5,122.059998,84.599998,25.700001,10.61,127.489998,11.1,27.98,19.450001,43.709999,67.510002,26.5,11.67,,
8/21/23,29.219999,149.649994,42.650002,42.619999,325.390015,85.019997,36.900002,29,123.669998,83.660004,25.719999,10.88,128.309998,11.16,27.799999,19.620001,44.009998,67.650002,27.280001,11.85,,
8/22/23,29.129999,149.259995,42.459999,42.310001,322.480011,84.709999,36.759998,28.559999,122.889999,84.07,25.610001,10.81,127.849998,11.1,27.389999,19.34,43.939999,67.800003,27.15,12,,
8/23/23,28.450001,146.350006,41.560001,41.060001,320.619995,83,35.82,28.139999,118.970001,83.650002,24.879999,10.46,125.43,10.64,26.700001,18.360001,42.950001,66.25,26.139999,11.73,,
8/24/23,28.4,147.5,41.450001,41.02,322.149994,83.169998,36.279999,28.549999,119.300003,82.769997,25.33,10.73,126.339996,10.82,26.91,18.799999,43.369999,67.400002,25.98,11.91,,
8/25/23,28.639999,147.279999,41.639999,41.259998,320.799988,83.690002,36.41,29.1,118.25,82.400002,25.84,10.97,126.830002,10.95,27.190001,18.799999,43.689999,68.050003,26.43,11.95,,
8/28/23,28.690001,147.570007,41.41,41.48,321.339996,83.800003,35.84,29.17,118.660004,80.68,25.65,10.78,126.540001,10.94,27.15,18.719999,43.98,68.019997,26.18,11.92,,
8/29/23,28.889999,147.710007,41.869999,41.299999,325.559998,84.410004,36.189999,29.49,118.720001,80.739998,25.780001,10.93,126.82,11,27.51,18.82,44.369999,68.389999,26.08,11.99,,
8/30/23,29.219999,148.619995,42.060001,41.689999,330,85.620003,36.549999,30.32,120.370003,82,26.27,11.16,127.949997,11.12,28.209999,18.860001,44.389999,68.540001,26.25,11.92,,
8/31/23,28.93,148.259995,41.68,41.509998,329.410004,85.669998,36.509998,30.389999,121.029999,83.480003,26.5,11.16,125.589996,11.06,28.09,18.459999,44.669998,68.650002,26.879999,11.95,,
9/1/23,28.76,146.089996,41.549999,41.59,329.670013,86,36.84,30.879999,121.709999,83.269997,26.77,11.42,125.790001,11.2,28.35,18.549999,45.25,69.379997,28.17,12.35,,
9/5/23,28.940001,147.160004,41.650002,41.529999,327.339996,85.839996,37.099998,30.84,121.730003,82.959999,26.9,11.52,125.519997,11.17,28.43,18.57,45.400002,69.550003,29.540001,12.18,,
9/6/23,28.4,144.699997,41.209999,41.02,322.309998,84.279999,36.259998,30.15,120,83.019997,26.9,11.32,123.089996,11.08,28.09,18.25,45,69.510002,28.190001,11.99,,
9/7/23,28.41,144.130005,40.73,41.07,320.619995,83.989998,35.889999,29.48,117,82.5,26.459999,11.02,121.339996,10.86,27.620001,18.059999,44.619999,69.709999,27.690001,11.73,,
9/8/23,28.120001,143.369995,40.450001,40.610001,321.920013,84.150002,35.77,29.5,116.32,81.489998,26.120001,10.91,119.709999,10.71,26.950001,17.85,44.810001,69.449997,27.43,11.8,,
9/11/23,28.51,144.75,41.380001,40.810001,328.26001,85.379997,36.5,30.290001,118.089996,80.580002,26.59,11.36,122.849998,10.99,27.73,18.15,45.25,71.489998,28.25,12,,
9/12/23,28.459999,144.5,41.41,40.57,324.01001,83.339996,36.389999,30.370001,118.18,80.849998,26.57,11.22,127.419998,10.78,27.690001,18.049999,44.990002,71.379997,28.629999,11.99,,
9/13/23,29.120001,147.339996,42.709999,41.939999,333.5,86.150002,37.25,30.23,126,81.75,28.200001,11.94,130.550003,11.04,28.620001,18.389999,45.73,72.07,28.93,12.01,,
9/14/23,29.17,147.839996,42.810001,42.790001,339,88.080002,35.599998,29.049999,124.800003,82.400002,27.49,11.49,128.020004,10.8,27.870001,18.08,45.700001,72.099998,28.83,11.82,,
9/15/23,28.950001,148.919998,42.669998,42.75,345.149994,88.190002,35.32,28.65,126.019997,83.489998,27.32,11.58,127.510002,10.61,27.84,17.799999,45.419998,71.589996,28.33,11.72,,
9/18/23,28.799999,148.160004,42.990002,42.599998,342.540009,88.57,34.84,28.75,126,83.769997,27.43,11.66,129.649994,10.66,27.9,17.9,45.060001,71.660004,28.629999,11.64,,
